Feature,Transgenic_tdTOM_598_01,Transgenic_tdTOM_601_03,Transgenic_tdTOM_599_02,Transgenic_BioID2P2AtdTOM_552_01,Transgenic_tdTOM_580_04,Transgenic_BioID2P2AtdTOM_507_02,Transgenic_BioID2P2AtdTOM_584_05,Transgenic_BioID2P2AtdTOM_551_04,WT_tdTOM_607_02,WT_tdTOM_606_01,WT_tdTOM_525_04,WT_tdTOM_495_03,WT_BioID2P2AtdTOM_589_02,WT_BioID2P2AtdTOM_494_01,WT_BioID2P2AtdTOM_605_03
EIF3K_MOUSE|Q9DBZ5,13.8799,14.0332,13.8412,14.5471,13.7778,14.7158,15.0308,14.3085,14.1281,14.1288,13.6281,13.4089,14.3785,14.1481,14.7859
EIF3L_MOUSE|Q8QZY1,14.3645,14.4626,14.4072,14.9152,14.3689,15.2893,15.206,14.8949,14.6345,14.4138,14.1082,13.998,14.9175,14.9694,15.257
EIF3M_MOUSE|Q99JX4,12.8776,12.8018,12.7373,13.117,12.697,13.3249,13.2386,13.2037,12.8458,12.6459,12.388,12.3849,13.1817,13.0563,13.2001
ELAV1_MOUSE|P70372,13.4281,13.4088,13.3838,14.2189,13.4067,14.3283,14.6014,14.3492,13.828,14.0619,13.0186,13.2374,14.402,14.0884,14.5654
ELAV2_MOUSE|Q60899,12.8285,12.8473,12.8127,14.9358,12.663,15.1729,14.795,15.3296,13.3052,13.3011,12.1074,12.3727,15.1249,15.09,14.8727
ELAV3_MOUSE|Q60900,12.4249,12.5959,12.4334,13.1681,12.1807,13.0879,13.879,13.2906,12.9462,13.2691,11.4551,11.873,13.2821,12.7157,13.332
ELAV4_MOUSE|Q61701,10.4923,10.7309,10.5237,13.7711,11.0488,14.0968,13.3314,14.1863,11.1886,11.0405,10.9694,10.8473,13.9699,14.0129,13.4982
ELFN1_MOUSE|Q8C8T7,11.4049,11.5266,11.5125,16.2765,11.909,16.2097,15.6584,16.6505,11.1378,10.9144,12.4062,11.6177,16.2985,16.4511,16.0229
ELMD1_MOUSE|Q3V1U8,13.7604,13.859,13.5152,14.491,13.4146,14.9147,15.1483,14.5962,14.0063,13.7013,13.0379,13.4952,14.7214,14.4227,14.9821
ELMO1_MOUSE|Q8BPU7,13.9787,14.2021,13.9597,14.9911,14.0585,15.3069,15.6177,15.1017,14.349,14.374,13.7044,14.105,15.0787,14.7132,15.2168
ELMO2_MOUSE|Q8BHL5,11.8603,11.8788,11.8275,12.9329,11.962,13.1006,13.4961,12.5971,12.1027,12.3289,11.7319,11.5754,12.9416,12.7615,13.2507
ELN_MOUSE|P54320,14.6324,9.9334,13.199,12.8691,11.867,11.4259,10.2839,10.8805,9.98741,9.05066,8.92333,9.92837,12.8525,9.86898,9.44128
ELOB_MOUSE|P62869,13.329,13.1924,13.4283,16.4231,13.6286,16.1549,15.6135,16.6424,13.3647,13.2816,13.3584,12.7703,16.5591,16.194,15.9299
ELOC_MOUSE|P83940,13.4429,13.3246,13.1721,14.1426,13.1918,14.1896,14.8035,13.6436,13.7022,13.6487,13.0525,13.0438,13.9832,13.8449,14.2891
ELP1_MOUSE|Q7TT37,14.0769,14.252,13.8569,15.0568,14.0371,15.1799,15.4162,14.9584,14.3024,14.3442,13.9125,13.7958,15.0898,15.0542,15.2254
ELP2_MOUSE|Q91WG4,12.3403,12.4085,12.305,13.6953,12.3209,13.847,13.9446,13.9296,12.5698,12.6183,12.1195,12.2723,13.8935,13.9811,13.9212
ELP3_MOUSE|Q9CZX0,12.7109,13.0089,12.6714,13.8401,12.7544,13.8804,14.3809,13.7393,13.3875,13.3566,12.6624,12.5889,14.0516,13.9425,14.1731
ELP4_MOUSE|Q9ER73,12.1829,12.1405,12.1056,13.8616,12.2519,14.0077,14.324,13.908,12.4278,13.0701,12.0848,11.9935,14.0248,13.8843,13.9606
ELP5_MOUSE|Q99L85,13.2014,13.2375,13.1675,14.2691,13.2296,14.4001,14.7861,14.106,13.5215,13.8087,13.0599,13.0731,14.2857,14.1299,14.5459
ELYS_MOUSE|Q8CJF7,12.6986,12.6946,11.7119,14.0441,12.0833,14.2087,14.849,14.0897,12.9187,13.9752,12.0943,13.9097,13.7138,13.662,13.3882
EM55_MOUSE|P70290,11.9456,12.1917,11.8968,15.2083,12.077,15.4041,14.6703,15.7753,12.1986,12.3044,12.2624,11.9197,15.4456,15.6793,15.0675
EMAL1_MOUSE|Q05BC3,14.2768,14.3521,14.155,15.1816,14.2404,15.1169,15.2859,14.921,14.3891,13.8563,13.9097,14.0382,15.1223,15.0385,15.2132
EMAL2_MOUSE|Q7TNG5,14.4353,14.4629,14.1907,15.491,14.6708,15.4368,15.8588,15.3893,14.6838,14.4185,14.0114,14.3624,15.4591,15.4541,15.6033
EMAL4_MOUSE|Q3UMY5,13.5497,13.5066,13.4282,14.7249,13.8005,14.511,15.0144,14.3967,13.7056,14.2529,13.8909,13.7258,14.7751,14.6459,14.5297
EMB_MOUSE|P21995,14.8254,14.9343,14.7929,15.9885,14.526,15.729,16.0564,16.0657,14.9275,14.8959,14.3785,14.396,15.9558,15.849,16.0656
EMC1_MOUSE|Q8C7X2,13.3965,13.5857,13.3231,13.9828,13.0525,14.5642,14.4168,14.0569,13.9819,13.336,12.9306,12.5825,14.0554,14.0736,14.7273
EMC2_MOUSE|Q9CRD2,11.4947,11.7031,11.6142,12.5519,11.254,12.7308,13.2257,12.2628,12.1875,12.104,11.0914,11.0018,12.4393,12.0347,12.6409
EMC4_MOUSE|Q9CZX9,13.3176,13.5131,13.344,14.3782,13.43,14.3946,14.9764,14.1758,13.8189,13.8635,13.2379,13.5184,14.3538,13.9082,14.6985
EMC8_MOUSE|O70378,13.4252,13.2933,13.1958,14.0788,13.4467,14.2701,14.8653,13.9161,13.434,14.1565,13.3758,12.9481,14.2971,13.9814,14.564
EMD_MOUSE|O08579,9.44819,9.71182,9.78469,13.0692,10.1865,13.4713,13.1249,13.5838,10.5605,10.1874,10.4797,9.85174,13.4241,13.5367,13.0511
EMSY_MOUSE|Q8BMB0,11.5668,11.6811,11.4433,15.8923,12.226,15.9621,15.0279,16.2292,12.0172,11.271,12.348,12.0592,16.1545,16.1968,14.881
ENAH_MOUSE|Q03173,10.9685,11.008,11.3037,15.201,11.412,15.3875,14.7216,15.5455,11.1573,10.5605,11.4556,10.9926,15.5491,15.6814,15.2948
ENDD1_MOUSE|Q8C522,14.2234,14.4952,14.3239,15.3498,14.5707,15.2067,15.8982,15.2279,14.7461,15.2111,13.72,15.2475,15.1189,14.6412,15.2259
ENOA_MOUSE|P17182,14.9337,14.7263,14.9298,15.1161,14.7914,15.3212,15.3527,15.1208,15.151,14.7765,14.3155,14.0796,14.8907,14.516,15.2057
ENOG_MOUSE|P17183,14.7715,14.5355,14.9047,14.9736,14.8845,15.559,14.8629,15.3547,15.3441,14.4226,15.385,14.2709,15.1708,14.8864,15.9382
ENOPH_MOUSE|Q8BGB7,12.3474,12.3959,12.5843,12.6578,12.0912,12.7437,13.3303,12.6065,13.0606,12.7049,11.6395,11.5662,12.964,12.5231,13.1898
ENPL_MOUSE|P08113,14.307,14.2119,14.2838,14.7336,14.1876,14.777,15.3514,14.7487,14.4518,14.4232,14.2969,14.1126,14.7241,14.5245,14.9107
ENPP6_MOUSE|Q8BGN3,14.0213,13.8961,14.51,14.3734,13.999,15.2556,15.0645,14.9598,15.2568,13.8885,13.6711,15.4163,15.2555,14.4554,15.4611
ENSA_MOUSE|P60840,12.271,12.1899,12.4388,16.1397,12.6174,16.4416,15.9082,16.3851,13.0039,11.6044,13.6929,12.9294,16.1481,16.2418,15.955
EP15R_MOUSE|Q60902,11.3626,11.1194,11.1675,16.1823,11.5895,16.2724,15.7522,16.5619,11.1347,11.7488,12.1159,11.4647,16.3243,16.514,16.2946
EP400_MOUSE|Q8CHI8,11.8454,11.8873,11.683,13.117,12.1486,13.1877,12.9411,13.3485,11.9008,12.377,11.8926,12.0764,13.6091,13.4831,13.1069
EPG5_MOUSE|Q80TA9,14.209,14.3117,14.077,15.7447,14.3738,15.5963,15.7656,15.3639,14.5777,14.7651,14.2693,14.8759,15.5262,15.511,15.4121
