Feature,Transgenic_tdTOM_598_01,Transgenic_tdTOM_601_03,Transgenic_tdTOM_599_02,Transgenic_BioID2P2AtdTOM_552_01,Transgenic_tdTOM_580_04,Transgenic_BioID2P2AtdTOM_507_02,Transgenic_BioID2P2AtdTOM_584_05,Transgenic_BioID2P2AtdTOM_551_04,WT_tdTOM_607_02,WT_tdTOM_606_01,WT_tdTOM_525_04,WT_tdTOM_495_03,WT_BioID2P2AtdTOM_589_02,WT_BioID2P2AtdTOM_494_01,WT_BioID2P2AtdTOM_605_03
1433B_MOUSE|Q9CQV8,16.2966,16.2696,16.12,17.0593,16.1273,17.0748,17.6017,16.6345,16.5078,16.7502,15.695,15.6992,16.8717,16.6203,17.1903
1433E_MOUSE|P62259,14.9549,14.9193,14.8076,15.5306,14.5756,15.5746,15.9529,15.2004,15.2409,14.9988,14.3297,14.242,15.3794,15.2097,15.5601
1433F_MOUSE|P68510,15.1802,15.275,15.0403,15.8691,14.9834,15.888,16.254,15.4971,15.7846,15.4808,14.634,14.5275,15.8262,15.5038,16.1049
1433G_MOUSE|P61982,15.5496,15.3869,15.3993,16.1614,15.1133,16.1656,16.5261,15.7588,15.6769,15.3941,14.888,14.7434,15.9602,15.7166,16.3167
1433T_MOUSE|P68254,15.4436,15.5021,15.4508,16.0216,15.0736,16.2499,16.5029,15.8209,15.9243,15.3786,15.0458,14.8826,15.9539,15.7451,16.3795
1433Z_MOUSE|P63101,17.1515,17.2,16.9815,18.0088,16.8112,17.8975,18.4494,17.4438,17.4923,17.4677,16.4427,16.5024,17.7953,17.4342,18.0212
2A5A_MOUSE|Q6PD03,10.9189,11.3681,11.4622,12.7327,11.0721,13.0167,13.1708,12.879,11.688,11.6321,11.1944,11.3673,12.8018,12.4184,12.8834
2A5B_MOUSE|Q6PD28,14.1569,14.2671,14.4002,15.4117,14.2249,15.7266,15.59,15.6705,14.9916,13.9975,13.8286,14.064,15.5227,15.4662,15.7978
2A5E_MOUSE|Q61151,11.5949,11.5639,11.9184,12.8109,11.7436,13.1998,13.1918,13.0425,12.4089,12.098,11.2823,11.4586,13.0661,12.8235,13.343
2A5G_MOUSE|Q60996,12.3817,12.5234,12.9873,15.2634,12.4455,15.3168,14.5097,15.7289,13.2205,12.2611,12.6435,12.644,15.3663,15.577,15.0405
2AAA_MOUSE|Q76MZ3,14.3077,14.3289,14.4811,15.0853,14.3011,15.3138,15.5596,15.1791,14.7308,14.6081,14.195,14.0084,15.2994,15.0953,15.588
2ABA_MOUSE|Q6P1F6,13.5439,13.6052,13.4418,14.2375,13.4751,14.4211,14.8005,13.9192,14.056,13.6831,13.1669,13.3626,14.1887,14.131,14.6901
3BP5_MOUSE|Q9Z131,13.2509,13.5276,13.3761,15.5859,13.257,15.3636,15.2911,15.5895,13.5106,13.3652,13.6665,12.8589,15.5295,15.4954,15.1768
3HIDH_MOUSE|Q99L13,13.7643,13.7367,13.6962,14.1712,13.7128,14.3451,14.9624,14.1386,14.0359,14.2337,13.5857,13.1131,14.3917,14.0081,14.623
41_MOUSE|P48193,13.7208,13.7929,13.6917,16.007,13.6775,16.0548,15.9965,16.277,13.9104,14.0007,13.4374,13.5902,16.1229,16.0851,15.9226
4ET_MOUSE|Q9EST3,9.8125,9.71753,9.87641,13.773,9.36613,13.773,13.0685,14.0728,10.244,9.89851,10.4234,10.645,13.9621,14.1149,13.2481
4F2_MOUSE|P10852,14.7609,14.8898,14.9065,15.8737,14.6262,16.0815,16.4091,16.1572,15.4273,15.0351,14.2443,14.2369,16.0517,15.7704,16.2753
5NT3A_MOUSE|Q9D020,12.0108,12.1495,12.0939,12.7833,12.003,13.1432,13.3832,12.8679,12.6828,12.342,11.9336,12.0956,12.9679,12.8114,13.2203
5NTC_MOUSE|Q3V1L4,15.2228,15.2029,15.1696,16.2695,15.1844,16.457,16.796,16.0841,15.6436,15.7423,14.8831,15.3505,16.2296,16.2125,16.6071
68MP_MOUSE|P56379,15.8742,16.1198,15.9185,16.8884,15.7685,16.7307,17.1298,16.5911,16.5028,16.2421,15.2849,15.1296,16.7842,16.3983,17.1065
6PGD_MOUSE|Q9DCD0,13.8691,14.1451,13.9366,14.4466,14.0892,14.6398,14.8496,14.3912,14.1196,13.917,13.5546,13.5596,14.3335,14.1292,14.6181
6PGL_MOUSE|Q9CQ60,12.4273,12.5841,12.4377,13.0917,12.619,13.1303,13.4979,13.0767,12.887,12.8567,12.5358,11.6841,13.3115,12.8726,13.5603
A0A087WNU5_MOUSE|A0A087WNU5,11.9464,12.0059,11.794,16.6154,12.1457,16.8157,15.986,16.9965,11.1242,11.586,12.5726,11.9812,17.0168,17.2129,16.2947
A0A087WNW2_MOUSE|A0A087WNW2,12.2758,12.1872,12.2709,12.4485,12.076,12.9056,13.4452,12.875,13.0461,12.5278,11.9207,11.9995,12.9743,12.6793,13.14
A0A087WPL5_MOUSE|A0A087WPL5,15.0412,15.1369,14.9699,15.9439,14.9449,15.9978,16.0597,16.063,15.2855,14.8708,14.7124,14.6508,16.0286,15.942,16.1308
A0A087WQM0_MOUSE|A0A087WQM0,12.6789,12.9312,11.8575,13.97,13.6444,13.025,13.2389,12.4292,12.1414,12.8025,11.5874,12.1498,13.2154,12.769,13.0137
A0A087WRP9_MOUSE|A0A087WRP9,10.9074,10.781,11.0487,14.2773,11.4896,14.4747,13.6312,14.6026,10.8556,10.3817,11.4825,11.2329,14.5932,14.5506,13.8414
A0A087WS16_MOUSE|A0A087WS16,13.828,14.8904,12.795,13.7026,14.9389,14.1713,13.4417,12.1181,14.113,12.6127,10.6534,13.4413,13.274,12.7733,15.457
A0A0A6YWG7_MOUSE|A0A0A6YWG7,13.6111,13.8285,13.5191,15.456,13.5098,15.3729,15.3121,15.6526,13.7086,13.8203,13.7085,13.3706,15.3515,15.3431,14.977
A0A0A6YY91_MOUSE|A0A0A6YY91,13.7522,13.6014,13.6488,15.2308,13.3629,15.1407,15.4682,15.5551,13.727,14.3723,13.3977,13.3191,15.2303,15.2806,15.2402
A0A0G2JFH2_MOUSE|A0A0G2JFH2,9.87528,10.1302,9.61404,13.3845,10.0383,13.5235,13.5004,13.7665,9.54699,10.2109,10.17,9.89435,13.4095,13.6493,13.0905
A0A0G2JFH6_MOUSE|A0A0G2JFH6,9.43108,9.69888,10.4363,14.1702,10.6519,14.2899,13.4264,14.1503,10.3786,10.1039,10.0909,10.9067,14.3692,14.4511,13.8485
A0A0G2JFZ4_MOUSE|A0A0G2JFZ4,10.7254,10.5419,9.82969,12.9238,10.9587,12.8361,12.3504,13.1651,10.2115,10.538,11.1941,10.9318,13.3324,13.4018,12.8202
A0A0J9YUS1_MOUSE|A0A0J9YUS1,12.4642,12.7267,12.4416,13.3617,12.4039,13.1385,13.6346,13.4466,12.6965,12.3302,12.0461,12.2252,13.6185,13.5095,13.2406
A0A0J9YVH8_MOUSE|A0A0J9YVH8,10.5885,10.6559,10.839,15.3362,10.7308,15.1622,14.8992,15.3718,10.6949,10.5238,10.9898,10.2355,15.1598,15.139,15.0366
A0A0N4SUM2_MOUSE|A0A0N4SUM2,12.2287,12.4871,12.3832,12.1803,12.5327,12.3728,12.677,12.4956,12.3083,12.8981,12.8029,12.7363,12.9458,12.8688,12.6307
A0A0N4SUV0_MOUSE|A0A0N4SUV0,11.6668,11.4923,11.6539,15.596,11.8301,15.4568,15.1615,15.7529,11.7166,11.5933,12.0694,11.9262,15.6253,15.9024,15.415
A0A0N4SVL0_MOUSE|A0A0N4SVL0,10.6563,9.07414,10.5101,15.5177,10.3276,15.4504,14.6346,15.5386,10.1183,11.3748,8.90926,11.2503,15.4931,15.5814,14.8993
A0A0N4SW73_MOUSE|A0A0N4SW73,10.1934,10.1961,10.0453,14.7713,10.4353,14.8591,14.269,14.9732,9.52185,10.3928,10.7662,10.1298,14.8408,15.0467,14.4655
A0A0N4SWD7_MOUSE|A0A0N4SWD7,9.69246,8.77972,8.65716,13.8508,9.99663,13.8377,13.2403,14.2317,8.60743,8.48987,8.97676,8.65992,13.882,14.0235,13.7947
A0A0R4J078_MOUSE|A0A0R4J078,13.2809,13.0655,13.3397,15.2813,13.404,15.7385,15.8228,15.5656,13.5208,13.7155,13.0541,12.944,15.4572,15.4804,15.6289
A0A0R4J094_MOUSE|A0A0R4J094,12.6441,12.8219,12.4254,13.5202,12.6148,13.7011,14.3337,13.3006,12.8615,13.2568,12.5982,11.9963,13.4271,13.4507,14.0458
A0A0R4J0B4_MOUSE|A0A0R4J0B4,12.9086,13.2463,13.0045,14.3086,13.2023,14.3543,14.8026,13.5658,13.6887,14.5145,12.7029,13.0804,14.2002,13.9704,14.3772
A0A0R4J0I1_MOUSE|A0A0R4J0I1,17.4417,14.9717,15.5798,16.723,16.8171,17.6657,18.1471,16.7177,18.486,17.7891,13.439,15.4894,18.7551,17.1107,18.5306
A0A0R4J117_MOUSE|A0A0R4J117,13.1655,13.4507,12.8412,14.0912,13.1702,13.991,14.7608,13.8115,13.5363,14.5517,12.7895,13.0023,14.3599,13.635,14.505
A0A0R4J124_MOUSE|A0A0R4J124,12.9895,13.0546,13.1715,15.2809,12.9612,15.3223,15.5219,15.527,13.5296,14.2028,12.5736,13.1235,15.2427,15.2319,15.0799
A0A0R4J1I8_MOUSE|A0A0R4J1I8,11.3532,12.9945,11.6543,17.4893,13.194,17.0392,16.4165,17.6629,13.4319,10.771,11.4921,10.5725,17.4392,17.5709,16.5412
A0A0R4J2C2_MOUSE|A0A0R4J2C2,11.9025,11.993,12.212,14.2918,11.8443,14.9222,14.5952,15.064,12.5926,12.0844,11.6768,12.062,14.9551,15.0836,15.3675
A0A140LHX5_MOUSE|A0A140LHX5,10.3323,10.3147,10.0397,12.0743,10.0372,12.3317,12.0293,12.3821,10.1796,10.4406,9.91985,9.69918,12.1366,12.1971,11.7526
A0A140LIW3_MOUSE|A0A140LIW3,10.3332,10.3001,10.5894,14.4459,10.4306,14.6962,13.9298,14.8697,10.7576,10.0955,10.7382,10.5909,14.8188,15.1174,14.4484
A0A140LJD2_MOUSE|A0A140LJD2,11.4153,11.7504,11.7902,15.0205,11.5918,15.026,14.779,15.4352,12.0447,12.6668,11.8087,11.9027,15.1467,15.064,14.8078
A0A1B0GR85_MOUSE|A0A1B0GR85,9.03414,8.74153,8.79105,14.2099,8.85351,14.2727,13.5261,14.3386,8.55856,9.12593,9.67286,8.8848,14.3456,14.446,13.1153
A0A1D5RLA1_MOUSE|A0A1D5RLA1,12.082,11.9239,11.9507,12.9778,11.6652,13.2759,13.9874,12.9479,12.6991,12.3243,12.1964,11.4164,13.2232,12.6738,13.6275
A0A1D5RLD2_MOUSE|A0A1D5RLD2,11.6137,11.6558,11.3983,13.1913,11.4794,13.3185,13.4831,13.1355,12.2985,11.9859,11.3584,11.8962,13.3001,13.1109,13.2321
A0A1D5RLG3_MOUSE|A0A1D5RLG3,11.2872,11.7472,11.4348,12.8823,11.5078,13.1612,13.4098,12.8398,11.8008,12.1376,11.3069,11.3192,13.2628,12.967,13.2648
A0A1D5RLM8_MOUSE|A0A1D5RLM8,12.9953,13.3548,13.2883,13.1341,13.3103,13.7431,12.4121,13.257,12.6697,13.0718,12.5484,12.8908,12.9535,12.6352,12.6927
A0A1D5RM83_MOUSE|A0A1D5RM83,11.5485,11.8843,11.4713,14.9539,12.02,14.8562,14.6639,14.9174,11.888,12.1511,11.5656,11.8747,14.7831,14.6377,14.5778
A0A1D5RM99_MOUSE|A0A1D5RM99,10.3564,10.3926,10.6863,14.7095,10.635,14.739,13.7959,15.0571,10.2526,10.5303,11.1366,10.0796,14.8687,14.9774,13.763
A0A1D5RMM1_MOUSE|A0A1D5RMM1,14.5814,14.6197,14.3077,15.4432,14.6167,15.117,15.8494,14.956,14.6485,15.3168,14.397,14.4635,15.3945,15.0201,15.4686
A0A1L1SVJ6_MOUSE|A0A1L1SVJ6,12.9874,12.8775,12.702,13.6456,13.0269,13.9013,14.4498,13.6677,13.248,13.4076,12.2641,12.6925,13.8524,13.5755,14.0452
A0A1W2P772_MOUSE|A0A1W2P772,10.1342,10.098,10.341,11.3563,10.5153,11.3915,11.7551,11.3739,10.7821,10.8538,10.6308,10.1274,11.6898,11.5111,11.6358
A0A1W2P7W6_MOUSE|A0A1W2P7W6,11.325,11.0712,11.6685,15.5074,11.5406,15.3151,14.994,15.5817,11.2486,11.7186,11.602,11.5158,15.4709,15.4939,15.0669
A0A1W2P872_MOUSE|A0A1W2P872,13.4672,13.4814,13.5385,15.2461,13.6193,15.3854,15.1265,15.5063,13.9417,13.7459,13.6571,13.4416,15.446,15.4779,15.4372
A0A1W2P8G5_MOUSE|A0A1W2P8G5,15.9904,16.0426,15.2927,16.7426,16.4333,15.957,16.4624,15.5324,15.4208,15.6328,15.0872,15.4227,16.4268,15.5343,15.854
A0A1Y7VNZ6_MOUSE|A0A1Y7VNZ6,13.927,14.0096,13.9469,15.7577,13.8773,15.8586,15.7106,15.7092,14.4043,14.4487,13.8791,14.2224,15.654,15.6158,15.6858
A0AUN0_MOUSE|A0AUN0,12.7908,12.8014,12.9158,14.4942,12.8761,14.6013,14.7213,14.4689,13.1999,13.117,12.9418,12.7548,14.4221,14.3023,14.6603
A0JLN1_MOUSE|A0JLN1,13.8711,13.7396,13.6582,14.6703,13.9437,14.6324,14.9236,14.6544,13.8332,13.8615,13.5419,13.7731,14.5562,14.5528,14.6912
A0JLR7_MOUSE|A0JLR7,14.0015,14.0253,13.6336,15.2481,14.4319,14.7957,15.2029,15.1609,13.4498,14.212,13.6807,13.7603,14.9787,15.1427,14.4576
A16L1_MOUSE|Q8C0J2,13.9838,14.1814,14.0227,14.968,13.9608,15.0217,15.7432,14.7691,14.5664,14.9836,13.9196,13.7293,15.0564,14.8641,15.4512
A1AT1_MOUSE|P07758,14.3144,13.652,14.1488,14.5233,13.6683,14.042,14.5827,14.1696,15.2796,13.8261,12.4763,12.6837,15.3978,14.2819,14.7876
A1AT2_MOUSE|P22599,13.1961,13.1809,13.4821,14.0173,12.5807,12.7181,13.4366,13.3826,14.3432,12.9627,11.7655,12.0946,14.3167,13.1938,13.6959
A1BN54_MOUSE|A1BN54,12.6698,12.9005,12.8249,13.7713,12.9133,13.3051,13.5335,13.3169,12.7853,12.7967,12.2656,12.4424,13.4549,13.089,13.2989
A1ILI2_MOUSE|A1ILI2,11.8603,12.1355,11.7409,13.4759,12.1365,13.5504,13.4744,13.7739,11.9378,12.1612,12.0299,12.1108,13.4388,13.8488,13.4285
A1L3P4_MOUSE|A1L3P4,11.9987,12.4275,12.1281,13.4602,12.2763,13.384,13.832,13.2484,11.9907,12.6784,12.082,12.0226,13.2873,12.8669,13.5249
A2A5V2_MOUSE|A2A5V2,11.3421,11.3287,11.1116,12.7288,10.9628,12.6269,12.9335,12.947,11.7835,11.85,10.7864,10.6782,12.5297,12.6452,12.7077
A2A5Y6_MOUSE|A2A5Y6,11.451,11.5286,11.1364,13.0162,12.311,13.0163,12.8923,12.6715,12.4108,12.4749,12.2163,12.5593,13.1473,13.2483,13.0926
A2A8R0_MOUSE|A2A8R0,10.6614,10.5052,10.5886,13.5004,10.6882,13.7758,12.8349,13.6295,10.8782,10.6108,10.0927,10.2312,13.8401,13.6536,12.9108
A2ACM0_MOUSE|A2ACM0,13.3796,13.6284,13.5622,14.574,13.296,14.6221,14.9107,14.6766,13.4577,13.6474,13.3262,13.1366,14.7928,14.7066,14.4911
A2AE27_MOUSE|A2AE27,12.1937,12.1174,12.274,13.9563,12.144,14.0801,14.3756,14.1755,12.1788,12.7866,12.2268,11.8375,14.2591,14.2892,14.1371
A2AI20_MOUSE|A2AI20,13.1025,12.9969,12.8307,14.4831,12.835,14.8315,14.927,14.3766,13.1811,12.9681,12.7628,12.4318,14.7907,14.6328,15.0757
A2AIX1_MOUSE|A2AIX1,9.50631,9.2512,9.54547,14.2844,9.69776,14.3123,13.6458,14.5628,9.14916,9.50459,10.005,9.91841,14.4321,14.5016,13.911
A2AJW4_MOUSE|A2AJW4,12.998,13.2799,12.9364,14.0034,13.1017,14.155,14.5205,13.7454,13.5362,13.7035,12.6832,12.9697,14.1005,13.8999,14.3148
A2AJW5_MOUSE|A2AJW5,10.3213,10.9348,10.4434,14.6811,11.3533,14.7771,13.8463,14.8597,11.3814,11.2376,11.1608,11.4336,14.568,14.8173,14.2004
A2ALK6_MOUSE|A2ALK6,12.0145,11.7107,12.001,15.609,12.0253,15.8643,14.9214,15.8801,11.9208,12.0907,11.9527,11.9344,15.88,16.0107,15.6776
A2ALS7_MOUSE|A2ALS7,14.712,14.7491,14.6208,16.7871,14.7574,16.8296,16.9339,16.864,15.0641,15.4335,14.5805,14.5061,16.8222,16.905,16.3495
A2AS98_MOUSE|A2AS98,14.7904,14.9132,14.8966,16.016,15.2293,15.3889,16.163,15.3313,15.1862,15.1392,15.2281,14.9539,15.8486,15.923,15.7936
A2AT37_MOUSE|A2AT37,12.4418,12.3777,12.3699,13.7867,12.4152,13.9904,14.1385,13.7937,12.7353,12.3603,11.9751,12.1213,13.8586,13.8059,14.132
A2ATK9_MOUSE|A2ATK9,10.0027,10.1607,10.1373,15.45,10.762,15.4515,14.9486,15.8275,10.157,10.466,11.1439,10.3153,15.204,15.4145,14.8266
A2AUK8_MOUSE|A2AUK8,9.73588,10.3043,10.0442,14.273,9.81538,13.9127,13.0839,14.657,9.5282,9.42298,9.04666,9.20069,14.2582,14.592,14.317
A2AWI7_MOUSE|A2AWI7,10.9647,11.3334,11.2245,12.5749,11.4526,13.0048,12.7665,12.6388,12.2854,11.8626,11.0816,11.1839,12.7616,12.7693,12.8419
A2MG_MOUSE|Q6GQT1,14.8754,15.1625,15.0706,15.1549,15.1657,15.302,14.6433,15.2185,14.6622,14.9633,14.7339,14.8194,14.8985,14.787,14.6635
A2RTH5_MOUSE|A2RTH5,13.5822,13.8742,13.9214,14.4968,13.544,14.8573,15.0179,14.1773,14.1537,13.844,13.5148,13.4064,14.4502,14.3686,15.0571
A2VCS7_MOUSE|A2VCS7,9.95167,10.1756,9.94146,14.5408,10.4001,14.536,13.9857,14.802,10.0232,9.97017,10.3374,10.0034,14.6578,14.7309,14.2283
A6ZI46_MOUSE|A6ZI46,11.6053,11.8667,11.8757,12.0743,11.5508,12.1798,12.5428,12.135,11.7498,11.1761,11.5568,11.563,12.1761,12.3196,12.3682
A8DUK4_MOUSE|A8DUK4,12.4665,11.3641,15.8962,16.0643,11.3055,13.847,13.9562,17.1152,14.1725,11.1706,13.8835,14.3215,16.9801,12.2127,12.1577
A8DUN2_MOUSE|A8DUN2,14.7825,15.358,15.3155,15.1663,15.3922,15.4535,14.5644,15.2749,14.4725,14.8967,14.6595,14.5273,14.6397,14.7752,14.5806
AACS_MOUSE|Q9D2R0,11.8247,11.9856,11.7813,13.8989,11.7976,14.0874,13.5575,14.065,12.2747,11.8312,11.5203,11.5981,13.9892,14.0917,14.0332
AAK1_MOUSE|Q3UHJ0,11.5414,11.5561,11.5658,16.3301,11.8218,16.3278,15.724,16.7755,11.5514,10.6519,11.8287,11.5953,16.449,16.6474,15.8568
AAKB2_MOUSE|Q6PAM0,10.787,11.1887,10.8888,13.4861,11.28,13.4606,13.4686,13.6245,11.5453,11.3529,10.7519,10.81,12.9817,13.286,13.4194
AAKG1_MOUSE|O54950,14.9078,14.966,14.869,15.6725,14.6538,15.851,15.8948,15.8353,15.5264,14.8366,14.265,14.5038,15.656,15.5435,16.0746
AAMDC_MOUSE|Q8R0P4,15.5207,15.5879,15.6869,15.66,15.8587,15.2684,15.9246,15.7767,15.4242,15.928,15.7524,15.3706,16.1376,15.984,15.5227
AAPK1_MOUSE|Q5EG47,14.0388,14.2313,14.2291,15.5043,14.0813,15.6278,15.7059,15.6849,14.463,14.2977,13.8648,14.0119,15.6519,15.702,15.6953
AAPK2_MOUSE|Q8BRK8,12.1099,12.1513,12.1592,13.2331,12.1545,13.2858,13.5597,13.1244,12.6876,12.3973,11.9201,12.0775,13.2626,13.094,13.4081
AASD1_MOUSE|Q3THG9,12.0663,12.1431,12.1903,12.6836,12.2791,13.2136,13.3507,12.9322,12.6736,12.5532,11.9754,12.0807,13.0191,12.8115,13.3773
AASS_MOUSE|Q99K67,12.2813,12.2564,12.0686,12.7158,12.3243,12.8627,13.7317,12.4609,12.9274,12.3925,12.3701,12.0057,13.1283,13.1064,13.8171
AATC_MOUSE|P05201,15.6473,15.675,16.3305,16.0247,15.3482,16.1374,16.5345,16.734,16.2827,16.3316,14.8368,14.6116,16.7669,15.6346,16.5211
AATM_MOUSE|P05202,14.5238,14.4651,15.1202,14.4639,14.5309,14.763,15.0324,15.4839,14.7558,14.1956,14.1205,13.6865,15.4589,14.9059,14.499
ABCA2_MOUSE|P41234,11.5344,11.564,11.5712,12.704,11.5984,12.4133,13.095,12.3203,11.613,12.0718,11.4962,11.338,12.5466,12.422,12.6401
ABCA7_MOUSE|Q91V24,10.7994,10.8113,11.1977,11.7489,10.7811,11.8674,12.2123,11.6685,11.086,11.1215,10.9264,10.5098,11.8404,11.6355,11.9352
ABCB7_MOUSE|Q61102,13.793,13.894,13.7274,14.5144,13.8856,14.2539,14.5648,14.351,14.2304,13.6825,13.8046,13.7478,14.4715,14.3162,14.6531
ABCB8_MOUSE|Q9CXJ4,12.1785,12.2223,12.0047,12.9621,12.2342,13.0435,13.898,12.6502,12.6106,12.9895,11.5979,11.912,12.9324,12.8205,13.3418
ABCB9_MOUSE|Q9JJ59,13.0425,13.1084,12.9906,13.908,13.0801,13.8581,14.3271,13.8329,13.7329,13.2898,13.0174,14.2386,13.876,13.6824,14.2286
ABCBB_MOUSE|Q9QY30,12.9638,12.9837,12.2672,13.3523,12.5267,13.9236,14.2871,13.239,13.4958,12.5746,12.0469,11.9481,13.6871,13.3478,13.8766
ABCD3_MOUSE|P55096,13.4542,13.4602,13.0987,14.4855,13.4434,14.3403,14.6636,14.0467,13.922,13.8195,13.1411,13.3591,14.3363,14.0438,14.5055
ABCE1_MOUSE|P61222,13.7023,13.8979,13.804,14.3712,13.6675,14.4951,14.8087,14.3902,14.0582,13.7154,13.411,13.5223,14.4342,14.3172,14.5774
ABCF1_MOUSE|Q6P542,12.7164,12.7282,12.621,14.0326,12.7775,13.8999,14.3361,13.9829,12.9239,12.9098,12.3922,12.6714,13.8699,13.7634,13.8351
ABCF2_MOUSE|Q99LE6,14.5951,14.793,14.5187,15.4799,14.753,15.5581,15.9171,15.3326,15.0145,15.084,14.4186,14.585,15.5013,15.3271,15.601
ABCF3_MOUSE|Q8K268,11.3423,11.5463,11.4781,12.3567,11.3057,12.6278,12.8599,12.2342,11.6875,12.0556,10.8048,11.15,12.5088,12.4378,12.7458
ABD12_MOUSE|Q99LR1,12.7372,13.0754,12.8119,14.2135,12.7816,14.3084,14.4201,14.2333,13.3278,13.2518,12.4548,12.522,14.2564,14.1289,14.3779
ABHD6_MOUSE|Q8R2Y0,12.9775,13.3965,13.1396,14.0199,12.9572,14.1593,14.4825,13.9493,13.6287,13.1015,12.654,12.5727,14.2222,13.9414,14.3486
ABHEB_MOUSE|Q8VCR7,11.4148,11.5248,11.3939,12.0391,11.6568,12.678,13.2705,12.082,12.0348,12.0064,11.3136,11.1832,12.2848,12.0398,12.6589
ABHGA_MOUSE|Q9Z1Q2,12.7873,13.0621,12.7194,13.8708,12.6937,13.9284,14.3262,13.6881,13.3318,13.1405,12.5842,12.7168,13.8275,13.6015,14.1696
ABI1_MOUSE|Q8CBW3,11.5377,11.4217,11.5298,16.7774,12.1505,16.7552,16.2358,17.1849,12.1943,11.7519,12.6165,12.1342,16.6802,16.8274,16.4956
ABI2_MOUSE|P62484,10.4717,10.7536,10.9271,14.7205,10.7303,14.7965,14.4652,15.3011,11.3169,11.0316,11.2014,11.2327,14.7445,14.824,14.6277
ABL1_MOUSE|P00520,11.925,12.219,12.0352,14.0493,12.2054,14.1178,13.8832,14.2649,12.295,12.4605,12.0562,12.2408,14.16,14.1482,13.8769
ABL2_MOUSE|Q4JIM5,12.837,12.9069,12.8409,15.4248,12.9843,15.4184,15.2933,15.6849,13.0546,13.5139,12.9586,12.9942,15.4852,15.5191,15.2137
ABLM1_MOUSE|Q8K4G5,11.0497,11.0481,11.1329,14.9782,11.4138,14.9434,14.4704,15.3747,11.3489,11.0765,11.6525,11.5009,14.997,15.1504,14.7537
ABLM2_MOUSE|Q8BL65,10.9218,10.7703,10.7388,16.0069,11.4996,16.0311,15.4777,16.349,11.2642,11.0876,12.1532,11.2516,16.2099,16.3931,16.0165
ABLM3_MOUSE|Q69ZX8,10.6069,10.7918,10.8854,15.2254,11.0187,15.1413,14.8525,15.5171,10.9221,10.8951,11.5599,11.3991,15.3784,15.5026,15.0452
ABR_MOUSE|Q5SSL4,14.3332,14.4487,14.3247,15.4846,14.3079,15.5064,15.6323,15.5284,14.8312,14.2776,14.1286,14.0695,15.4887,15.4117,15.6612
ABRX2_MOUSE|Q3TCJ1,13.0029,13.18,12.92,14.6224,12.9904,14.5496,14.8634,14.5694,13.3196,13.6394,12.6934,12.8096,14.5419,14.5319,14.715
ACACA_MOUSE|Q5SWU9,15.1621,15.3893,15.0091,15.3479,15.3294,14.6326,15.2698,15.654,15.229,14.821,15.3611,14.9412,15.593,15.6819,15.2304
ACACB_MOUSE|E9Q4Z2,12.9865,13.2896,12.7663,12.9832,13.2989,12.548,13.607,12.9613,13.2239,13.5219,13.3355,13.2593,13.5785,13.5921,13.287
ACAD8_MOUSE|Q9D7B6,13.5747,13.524,13.2255,14.2332,13.5478,14.1627,14.9693,13.744,13.7601,13.9793,13.262,13.0864,14.1185,14.1792,14.4706
ACAD9_MOUSE|Q8JZN5,14.1997,14.1224,14.1646,14.617,13.9301,14.7477,15.2863,14.5008,14.7817,14.3184,13.8018,13.3741,14.7479,14.7608,15.1376
ACADL_MOUSE|P51174,14.6205,14.7309,14.6218,15.199,14.468,15.1129,15.7548,14.9227,15.0789,15.2204,13.9667,13.7812,15.2237,14.7604,15.321
ACADM_MOUSE|P45952,14.7321,14.9395,14.765,15.3757,14.8492,15.342,16.1995,15.1562,15.1572,15.7642,14.3712,14.1329,15.3501,14.8837,15.6102
ACADS_MOUSE|Q07417,13.9091,13.9195,13.8379,14.3421,13.8172,14.1779,15.1527,14.1596,14.3565,15.0537,13.65,13.4423,14.3545,14.1247,14.7258
ACADV_MOUSE|P50544,13.3885,13.4583,13.4148,13.9065,13.2075,13.8576,14.4727,13.8186,13.7277,13.8718,12.9466,13.2719,14.0167,13.8526,14.177
ACAP2_MOUSE|Q6ZQK5,13.9512,14.1022,13.9431,15.3992,13.8733,15.5414,15.5364,15.4963,14.4887,13.9717,13.7094,13.7286,15.4557,15.3635,15.5077
ACBD5_MOUSE|Q5XG73,9.76593,9.34385,10.3555,13.8393,9.94363,13.8681,13.0801,14.2091,10.4509,10.3841,10.119,9.1949,14.1938,14.1895,13.1343
ACBD6_MOUSE|Q9D061,12.8904,12.6711,12.9863,14.3514,12.8094,14.4982,14.7901,14.5193,13.3451,12.9645,12.6795,12.0484,14.4429,14.4901,14.6818
ACBG1_MOUSE|Q99PU5,13.9029,14.0013,13.8224,14.959,13.7979,14.9817,15.4242,14.7153,14.4303,14.3833,13.6229,13.4824,14.9452,14.7188,15.2916
ACBP_MOUSE|P31786,14.2183,14.3738,14.3351,14.6835,15.2433,14.7577,14.8767,15.7022,14.6829,14.7227,16.6209,14.3113,15.1961,14.8287,15.1738
ACDSB_MOUSE|Q9DBL1,15.0798,15.1775,14.7676,15.6967,14.9073,15.973,16.7874,15.3473,15.4421,15.5423,14.7135,14.6098,15.75,15.8079,16.3342
ACES_MOUSE|P21836,10.5507,10.8409,10.3732,11.7424,10.5263,11.6135,12.1718,11.3755,11.1274,11.0305,10.5967,10.5073,11.772,11.4928,12.1606
