"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04810","mmu04810","Regulation of actin cytoskeleton","51/1003","220/8997",2.07909823686054e-07,3.3484424235754e-06,2.40737690583852e-06,"329165/12669/12672/11789/11836/73341/54126/69632/108100/12927/109880/12631/12928/12929/20430/76884/13367/54004/13800/14083/14163/18711/18479/216963/14673/14674/16404/16885/107589/17931/50884/224105/18481/214230/18718/108083/117150/18720/18719/18717/232807/19045/110157/232906/19878/20544/20662/237860/21844/83767/73178",51
"mmu04910","mmu04910","Insulin signaling pathway","37/1003","139/8997",2.71431256019414e-07,4.15289821709704e-06,2.98574381621355e-06,"74370/108097/105787/108079/11836/109880/12402/208650/12928/12929/53413/14251/14252/56637/216019/15275/16367/384783/19087/19088/18679/102093/72508/26414/56717/19045/54646/19268/110078/107746/110157/20418/16332/20662/20411/64930/22084",37
"mmu03040","mmu03040","Spliceosome","36/1003","134/8997",3.06872221830982e-07,4.47156666096573e-06,3.21485184775314e-06,"56215/71702/27967/74351/72047/212880/233908/76936/23983/54633/56194/68988/70052/68879/70767/67959/319322/64340/66810/67039/19655/229279/68981/67465/81898/67332/20227/66354/76938/67958/67439/56070/331401/22185/320632/60321",36
"mmu05031","mmu05031","Amphetamine addiction","23/1003","69/8997",7.34624398441275e-07,1.02179575419559e-05,7.34624398441275e-06,"14810/224129/109731/53623/12288/13195/108058/14799/14800/14802/12322/12323/12325/12326/18750/14811/14812/19045/19055/19056/19049/13162/21823",23
"mmu04261","mmu04261","Adrenergic signaling in cardiomyocytes","38/1003","152/8997",1.04903483229301e-06,1.39567242905071e-05,1.00342462219332e-05,"226849/26932/26931/224129/11512/11514/11515/11928/98660/11931/11938/67972/11941/12294/12288/12295/12297/12298/12300/54376/81905/108058/20541/12322/12323/12325/18750/73086/18795/18797/19045/58200/381290/21770/320707/18798/56508/20544",38
"mmu05032","mmu05032","Morphine addiction","27/1003","91/8997",1.13557976018662e-06,1.44786419423794e-05,1.0409481135044e-05,"224129/11512/11514/11515/109689/216869/12286/12287/54393/242425/14394/14396/14400/14401/14402/14406/26385/16519/16522/18750/23984/207728/18577/238871/218461/18578/22348",27
"mmu04961","mmu04961","Endocrine and other factor-regulated calcium reabsorption","21/1003","61/8997",1.21910193143797e-06,1.49218076408007e-05,1.07280969966541e-05,"11512/11515/11771/11772/71770/11773/11928/98660/11931/67972/11941/12307/13429/103967/20541/18750/18795/18797/381290/320707/18798",21
"mmu04150","mmu04150","mTOR signaling pathway","38/1003","157/8997",2.46054543206709e-06,2.89587270081742e-05,2.08199998097984e-05,"17254/74370/105787/108079/67605/109880/56430/277854/13542/13543/13544/56637/75705/16367/18750/20111/20112/72508/64898/252875/56717/19211/110157/78757/68441/245670/227743/20662/20869/72149/64930/22084/29869/11964/11966/66144/108664/268933",38
"mmu04024","mmu04024","cAMP signaling pathway","47/1003","220/8997",6.99617020049431e-06,7.92899289389355e-05,5.70058312632869e-05,"14810/12669/80911/224129/11512/11514/11515/11928/98660/11931/11938/67972/11941/53623/109880/12288/108058/18479/54393/242425/14799/14800/14802/15166/330953/12322/12323/12325/12326/26414/17931/14811/14812/11517/23984/18577/238871/19045/19049/381290/320707/18578/110157/19878/56508/20544/21844",47
"mmu04925","mmu04925","Aldosterone synthesis and secretion","27/1003","102/8997",1.23071479603629e-05,0.000134499545566824,9.6699019688566e-05,"224129/11512/11514/11515/11928/98660/11931/67972/11941/11908/12288/269060/108058/16438/52163/12322/12323/12325/12326/18750/18754/207728/18795/18797/381290/320707/18798",27
"mmu03015","mmu03015","mRNA surveillance pathway","27/1003","103/8997",1.49428166223544e-05,0.000157672478842774,0.000113359298514413,"226849/26932/26931/326622/56215/68219/108062/228410/13680/14852/14853/103677/66899/233908/56422/67897/18458/18949/19045/21770/230721/19704/19826/226517/51796/230908/74320",27
"mmu04730","mmu04730","Long-term depression","19/1003","60/8997",1.55980657737566e-05,0.000159100270892317,0.000114385815674215,"11836/53623/109880/12286/14673/14674/14799/14800/14804/14816/16438/18750/18125/18795/18797/234889/18798/110157/20190",19
"mmu04010","mmu04010","MAPK signaling pathway","57/1003","294/8997",1.74446165294151e-05,0.000172195247032291,0.000123800504402301,"76089/11836/109689/216869/109880/12294/12286/12287/12288/12290/12295/12297/12298/12367/12300/54376/81905/12928/12929/72349/13836/13869/18479/14673/16180/30957/16590/18750/20111/20112/73086/26404/71751/26409/26412/225028/26921/26414/26397/26398/16151/18015/18212/224105/19055/19056/19042/19043/218397/110157/19417/19418/20662/56274/16765/68652/17762",57
"mmu04970","mmu04970","Salivary secretion","23/1003","85/8997",3.66413557964317e-05,0.000350382964803378,0.000251909321100468,"224129/11512/11514/11515/11928/98660/11931/67972/11941/20535/16438/16531/18750/18125/18795/18797/234889/381290/320707/18798/20496/20544/22318",23
"mmu04911","mmu04911","Insulin secretion","23/1003","86/8997",4.48391023867059e-05,0.000415780767585818,0.000298927349244706,"224129/11512/11514/11515/11928/98660/11931/12288/116838/108058/12322/12323/12325/16531/18750/11517/26875/18795/18797/18798/56508/20614/22318",23
"mmu05231","mmu05231","Choline metabolism in cancer","25/1003","98/8997",5.0285158266129e-05,0.000452566424395161,0.000325374553486717,"380921/320127/217480/56077/110197/110524/104418/331374/18750/72508/26414/56717/18720/18719/18717/18803/227333/110157/30805/63993/20662/64930/22084/83767/245880",25
"mmu04723","mmu04723","Retrograde endocannabinoid signaling","33/1003","148/8997",6.6457724928523e-05,0.000581030395089373,0.000417734270979288,"66082/224129/11512/11514/11515/53623/12286/12287/12288/269060/14394/14396/14400/14401/14402/14406/14799/14800/14802/14816/108071/16438/16519/16522/18750/26414/18795/18797/18798/116837/72961/140919/22348",33
