"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu03250","mmu03250","Viral life cycle - HIV-1","13/871","61/8997",0.00486472047197338,0.0227445200449023,0.0162701718631065,"12121/76895/75608/218210/15239/17754/17755/270058/23988/101739/19386/22088/116733",13
"mmu04961","mmu04961","Endocrine and other factor-regulated calcium reabsorption","13/871","61/8997",0.00486472047197338,0.0227445200449023,0.0162701718631065,"11515/11771/11772/11773/98660/67972/11941/13429/103967/20541/18795/320707/18798",13
"mmu04971","mmu04971","Gastric acid secretion","15/871","75/8997",0.00488526662936282,0.0227445200449023,0.0162701718631065,"432530/224129/11514/11515/98660/20535/108058/12322/12323/12325/16526/107589/18795/18798/20544",15
"mmu04930","mmu04930","Type II diabetes mellitus","11/871","48/8997",0.00522313491468091,0.0235838843045553,0.0168706066374321,"12286/12287/12288/12290/216019/15275/16367/384783/18754/26414/56717",11
"mmu04912","mmu04912","GnRH signaling pathway","17/871","90/8997",0.00523163630699642,0.0235838843045553,0.0168706066374321,"432530/224129/11514/11515/12288/108058/19229/12322/12323/12325/26414/26397/26398/18795/18798/110157/20662",17
"mmu05220","mmu05220","Chronic myeloid leukemia","15/871","76/8997",0.00555714912515794,0.0242020151485591,0.0173127832604593,"11350/11836/110279/109880/12402/12576/12928/12929/13016/14389/16151/19247/110157/20418/20662",15
"mmu00564","mmu00564","Glycerophospholipid metabolism","18/871","98/8997",0.00560494286752874,0.0242020151485591,0.0173127832604593,"110911/12647/380921/320127/217480/56077/110197/110524/104418/331374/333433/225010/99010/64898/26394/68671/68262/227333",18
"mmu04213","mmu04213","Longevity regulating pathway - multiple species","13/871","62/8997",0.00562441197114402,0.0242020151485591,0.0173127832604593,"74370/108097/105787/432530/224129/11514/11515/67605/56484/16367/384783/72508/56717",13
"mmu04970","mmu04970","Salivary secretion","16/871","85/8997",0.00686803816398279,0.0291122811727032,0.0208253160353288,"432530/224129/11514/11515/98660/67972/11941/20535/16531/18125/18795/234889/320707/18798/20544/22318",16
"mmu04310","mmu04310","Wnt signaling pathway","27/871","171/8997",0.00725287444746313,0.0302914168099931,0.021668804463783,"11789/12005/13000/13001/13016/12387/18163/208846/13542/13543/13544/108058/56637/93687/27373/12322/12323/12325/26409/26414/18795/19055/19056/106042/243548/18798/19878",27
"mmu04962","mmu04962","Vasopressin-regulated water reabsorption","10/871","44/8997",0.0080751567295368,0.0332368769737457,0.0237758237803296,"11515/13427/13426/235661/234663/69654/67665/110350/18195/22318",10
"mmu04022","mmu04022","cGMP-PKG signaling pathway","27/871","173/8997",0.00845960635248376,0.0341760880053961,0.0244476834137934,"432530/224129/11514/11515/98660/11938/67972/11941/12288/20541/16367/384783/16531/18754/17258/17261/107589/17931/18795/19045/19055/19056/234889/320707/18798/110157/19878",27
"mmu05213","mmu05213","Endometrial cancer","12/871","58/8997",0.00854402200134903,0.0341760880053961,0.0244476834137934,"11789/11836/12005/109880/12385/12386/12387/56484/56637/19211/110157/20662",12
"mmu05214","mmu05214","Glioma","14/871","74/8997",0.0105743630630701,0.0417099876376654,0.0298370185843937,"11836/109880/108058/52163/12322/12323/12325/12326/56717/18803/19211/110157/20418/20662",14
