"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04310","mmu04310","Wnt signaling pathway","36/1178","171/8997",0.00233173602266956,0.00883756739456242,0.00563616504504924,"11789/12005/13000/13001/13016/12387/18163/26965/12301/208846/13542/13543/13544/108058/56637/93687/27373/12322/12323/12325/18750/18751/18752/26409/26420/26414/18795/18797/19055/19056/106042/243548/18798/19353/19878/21887",36
"mmu04068","mmu04068","FoxO signaling pathway","29/1178","131/8997",0.00276458787098265,0.0102256442938756,0.00652141209895717,"108097/105787/108079/216439/23797/11836/109880/12576/56484/14816/26556/26557/16367/384783/27373/26417/26420/26414/26395/26396/18607/19211/110157/16653/73251/20662/20848/20869/252870",29
"mmu04726","mmu04726","Serotonergic synapse","29/1178","131/8997",0.00276458787098265,0.0102256442938756,0.00652141209895717,"224129/109731/11836/109880/12286/12287/12288/12367/14704/14400/14401/14402/14682/16508/16519/16522/18750/18751/18752/26417/26395/18795/18797/18798/74519/56448/110157/16653/15567",29
"mmu04660","mmu04660","T cell receptor signaling pathway","24/1178","103/8997",0.00307788558707727,0.0112489389908657,0.00717401903754852,"23797/208650/13383/18479/56637/26409/26417/26420/26414/26395/26396/17973/17974/16151/224105/18481/214230/18607/18803/19055/19056/110157/16653/20662",24
"mmu00564","mmu00564","Glycerophospholipid metabolism","23/1178","98/8997",0.00337362014988322,0.0121847221884018,0.00777081545360099,"11423/71760/12647/380921/320127/217480/56077/110197/110524/104418/331374/74182/333433/14555/99010/64898/26394/67216/68671/55979/68262/50767/227333",23
"mmu04750","mmu04750","Inflammatory mediator regulation of TRP channels","28/1178","127/8997",0.00344584650061117,0.0122708344745024,0.00782573362680421,"432530/224129/11512/11514/11515/70405/108058/14682/16180/12322/12323/12325/18750/18751/18753/18754/18752/26420/26414/26397/26399/18795/18797/18803/19045/18798/74519/22368",28
"mmu05212","mmu05212","Pancreatic cancer","19/1178","76/8997",0.00351715683367233,0.0122708344745024,0.00782573362680421,"23797/11836/73341/109880/72508/26417/26420/26414/26395/16151/19353/110157/56044/64143/16653/19765/17126/20846/20848",19
"mmu04922","mmu04922","Glucagon signaling pathway","24/1178","104/8997",0.00351737274839157,0.0122708344745024,0.00782573362680421,"108097/105787/108079/23797/70405/78070/108058/14682/14936/12322/12323/12325/18679/102093/18641/56421/18648/56012/18795/18797/19055/19056/110078/18798",24
"mmu04714","mmu04714","Thermogenesis","45/1178","231/8997",0.00362279502426871,0.0124966075556235,0.00796972057379043,"74370/108097/105787/108079/74205/432530/224129/11512/11514/11515/67605/93760/12801/52469/69893/12864/78070/239985/327826/277250/20111/20112/72508/26408/26397/54405/17991/66091/17992/66495/68194/66046/66916/595136/22272/16653/20104/67155/20586/57376/20588/68094/20662/64930/22084",45
"mmu00970","mmu00970","Aminoacyl-tRNA biosynthesis","17/1178","66/8997",0.00404201317605258,0.0136362422532763,0.0086965234325712,"234734/27267/107508/66590/23874/15115/85305/107045/102436/70223/104458/109093/20226/272396/22321/22375/107271",17
"mmu04664","mmu04664","Fc epsilon RI signaling pathway","17/1178","66/8997",0.00404201317605258,0.0136362422532763,0.0086965234325712,"23797/14389/18750/26417/26420/26414/26395/26396/26397/26398/26399/18607/18803/19353/110157/16653/20662",17
"mmu04213","mmu04213","Longevity regulating pathway - multiple species","16/1178","62/8997",0.00510356969184511,0.0170303901673527,0.0108611437377939,"74370/108097/105787/108079/432530/224129/11512/11514/11515/23797/67605/56484/16367/384783/72508/16653",16
"mmu04137","mmu04137","Mitophagy - animal","17/1178","68/8997",0.00560552684681367,0.0185042660427075,0.0118011091511867,"94044/13000/13001/56484/26420/26414/66734/16653/78294/18412/52440/66687/233204/209446/14479/100756/84092",17
"mmu04370","mmu04370","VEGF signaling pathway","15/1178","58/8997",0.00645105868926036,0.0210688831659886,0.0134366955901728,"23797/14083/18750/18751/18752/26417/26395/26396/18803/19055/19056/19353/110157/16653/56632",15
"mmu05230","mmu05230","Central carbon metabolism in cancer","17/1178","69/8997",0.0065542175980242,0.021103706197019,0.0134589040035849,"23797/14660/216019/15275/16590/26417/26395/26396/18213/18641/56421/18648/56012/19211/110157/16653/319801",17
"mmu05012","mmu05012","Parkinson disease","49/1178","264/8997",0.00659920454369323,0.021103706197019,0.0134589040035849,"17762/224129/109731/70405/12367/12864/16594/108058/56228/12322/12323/12325/16572/16574/16573/16593/74764/26408/26420/26414/54405/17991/66091/17992/66495/68194/66046/66916/595136/18803/19181/19185/66413/67151/22272/78294/227059/277468/13162/20617/22144/22145/53857/238463/22151/73710/21823/22201/22202",49
"mmu04930","mmu04930","Type II diabetes mellitus","13/1178","48/8997",0.00721249817693756,0.0225942544930595,0.0144095022654177,"12286/12287/12288/12290/216019/15275/16367/384783/18753/18754/26417/26420/26414",13
"mmu05030","mmu05030","Cocaine addiction","13/1178","48/8997",0.00721249817693756,0.0225942544930595,0.0144095022654177,"14810/224129/109731/13385/67839/14800/108068/14811/14812/19049/19739/13162/21823",13
"mmu04960","mmu04960","Aldosterone-regulated sodium reabsorption","11/1178","38/8997",0.00766680370821524,0.0237748357416371,0.015162418816885,"11928/98660/232975/16367/18750/18751/18752/26417/83814/18607/16653",11
"mmu04141","mmu04141","Protein processing in endoplasmic reticulum","34/1178","172/8997",0.00842551886325196,0.0258663429101835,0.0164962790375249,"23802/12330/12334/56424/26965/15502/56445/81489/56812/100037258/56228/230904/218811/14376/15505/18415/26408/26420/26414/57377/59007/386649/18786/99683/81910/69162/20338/69276/68292/269523/80286/67812/66530/22393",34
"mmu05235","mmu05235","PD-L1 expression and PD-1 checkpoint pathway in cancer","20/1178","88/8997",0.00873687089194027,0.0265566273646105,0.016936508451286,"23797/13000/13001/78798/72508/26417/26395/26396/26397/26399/16151/18803/19055/19056/19211/19247/110157/16653/20846/20848",20
"mmu03250","mmu03250","Viral life cycle - HIV-1","15/1178","61/8997",0.010500168734249,0.031603449033475,0.0201551226477845,"12121/76895/75608/432508/269061/218210/15239/17754/17755/270058/18571/23988/101739/19386/22088",15
"mmu04152","mmu04152","AMPK signaling pathway","26/1178","127/8997",0.0126701434181751,0.0377644080522307,0.0240842787509512,"226849/26932/26931/74370/108097/105787/108079/23797/67605/78070/56690/56484/14936/16367/384783/207565/72508/26409/18607/18641/56421/21770/20869/72149/64930/22084",26
"mmu05208","mmu05208","Chemical carcinogenesis - reactive oxygen species","41/1178","222/8997",0.0132738205170977,0.0391832971033557,0.0249891762771273,"11350/11352/23797/11836/57344/109880/12864/14083/56484/14862/14871/13849/13850/18753/26408/56615/26417/26420/26414/26395/26396/26398/54405/17991/66091/17992/66495/68194/66046/66916/595136/16151/18104/18607/19211/19247/22272/19353/110157/16653/20662",41
"mmu04914","mmu04914","Progesterone-mediated oocyte maturation","20/1178","92/8997",0.0142721475485114,0.0417290409275523,0.0266127262558708,"432530/224129/11512/11514/11515/23797/17222/11836/109880/231207/208922/67579/20111/20112/26417/26420/26414/26395/110157/16653",20
"mmu04120","mmu04120","Ubiquitin mediated proteolysis","29/1178","147/8997",0.0145904969391233,0.0422573826444419,0.0269496765707739,"17222/12211/12402/208650/56424/26965/26554/99375/72584/75717/235439/56228/230904/83814/17999/78294/56459/50995/69807/14897/22201/22202/22200/231380/22192/217342/22215/140630/107568",29
