"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04015","mmu04015","Rap1 signaling pathway","51/1416","214/8997",0.00117934284077292,0.00386971869628613,0.00201729696447999,"76089/110351/11461/11512/11651/23797/109880/12540/12801/12387/12388/13836/14026/14677/14678/14679/14681/14682/14683/18750/18751/18752/18759/14924/26413/26417/26395/26396/26399/18795/18797/18803/18643/107746/19353/19354/170758/56044/64143/109905/215449/15461/16653/51791/11848/20130/20469/20779/21844/21894/21825",51
"mmu00900","mmu00900","Terpenoid backbone biosynthesis","10/1416","23/8997",0.00143942444044297,0.00467441957463439,0.00243679015419537,"230709/110196/14593/208715/319554/17855/66881/224530/110460/110446",10
"mmu04726","mmu04726","Serotonergic synapse","34/1416","131/8997",0.00167995188199067,0.00539984533497002,0.00281495696660091,"109731/109880/12286/12287/12367/14693/14696/14701/14704/14708/14402/14677/14678/14679/14681/14682/14683/16438/18749/16508/16519/16522/18750/18751/18752/26413/26417/26395/18795/18797/11836/74519/15461/16653",34
"mmu04932","mmu04932","Non-alcoholic fatty liver disease","39/1416","156/8997",0.00170785526690563,0.00543408494015428,0.00283280618434108,"108097/19082/108079/11651/23797/12028/12367/12540/12857/12864/12867/12865/12866/606496/56637/13665/16367/384783/16396/26408/66091/17992/67130/68375/67273/67184/66495/68194/66046/230075/66916/67264/104130/68197/26414/22272/19353/66945/66694",39
"mmu04145","mmu04145","Phagosome","44/1416","182/8997",0.00184406847398943,0.00580881569306671,0.00302815454676159,"11461/12317/12330/12266/12845/12721/13427/13426/235661/234663/110350/18711/16410/16783/17113/225326/271457/19344/19345/19353/20333/100226/53331/22142/22144/22145/53857/545486/22151/73710/22152/22153/227613/22042/21825/21828/11972/22319/11966/66335/73834/108664/11984/11975",44
"mmu05163","mmu05163","Human cytomegalovirus infection","58/1416","256/8997",0.00204047024138348,0.00636384283203758,0.00331749200266621,"11512/11651/23797/16801/69632/12028/12317/12367/12387/14083/19229/14693/14696/14701/14704/14708/14672/14673/14674/14677/14678/14679/14681/14682/14683/14784/56637/16410/16438/16451/18749/18750/18751/18752/72508/26413/26417/26395/26396/26399/56717/16151/18795/18797/19055/19056/19353/19354/170758/15461/16653/19744/11848/19877/19878/20662/20779/20848",58
"mmu04664","mmu04664","Fc epsilon RI signaling pathway","20/1416","66/8997",0.00212800214171062,0.00657177131998869,0.00342588580089636,"11651/23797/14360/14784/18750/26413/26417/26395/26396/26398/26399/18607/18803/26414/19353/19354/170758/15461/16653/20662",20
"mmu05418","mmu05418","Fluid shear stress and atherosclerosis","37/1416","148/8997",0.00221301796211375,0.00676796755403719,0.0035281635369417,"108079/11461/11651/23797/16800/11898/12168/12389/12387/22027/14083/14733/14860/14862/14870/14871/15519/15516/16410/26408/17258/17260/56615/66447/26398/26399/16151/18104/26414/19353/19354/170758/11848/18412/20779/170930/22329",37
"mmu04931","mmu04931","Insulin resistance","29/1416","110/8997",0.00277042352237376,0.00839118663026668,0.00437435293006384,"228966/108097/19082/108079/11651/23797/12894/14583/56637/14936/16367/384783/18751/18753/18754/72508/56717/108155/18607/19045/19046/19211/19246/19247/19268/110078/26414/26569/20848",29
"mmu00190","mmu00190","Oxidative phosphorylation","34/1416","135/8997",0.00287519858081435,0.00862559574244304,0.00449655116398033,"192113/11951/11947/57423/12857/12864/12867/12865/12866/67895/66091/17992/67130/68375/67273/67184/66495/68194/66046/230075/66916/67264/104130/68197/22272/66945/66694/11972/11966/66335/73834/108664/11984/11975",34
"mmu00062","mmu00062","Fatty acid elongation","11/1416","29/8997",0.00313072664229678,0.00930357445588195,0.00484998367624924,"26897/171210/70025/56348/97212/231086/15107/19063/106529/75778/52538",11
"mmu00920","mmu00920","Sulfur metabolism","6/1416","11/8997",0.00339834531951749,0.0100044745387665,0.00521536517309128,"23827/23971/20341/211389/246221/22117",6
"mmu04152","mmu04152","AMPK signaling pathway","32/1416","127/8997",0.00373117009956069,0.010882579457052,0.00567312412798702,"226849/71978/74370/108097/19082/108079/11651/23797/12894/78070/56690/13629/15568/14104/14936/16367/384783/207565/72508/56717/18607/18641/56421/19052/19053/19325/68365/59021/17274/19744/20869/72149",32
"mmu05214","mmu05214","Glioma","21/1416","74/8997",0.0040200280318037,0.0116175122020015,0.00605624696244691,"11651/23797/12028/109880/108058/14784/52163/18750/18751/18752/26413/26417/26395/26396/56717/18803/19211/11836/15461/16653/20662",21
"mmu04270","mmu04270","Vascular smooth muscle contraction","35/1416","144/8997",0.004681212784768,0.0134052911563811,0.0069882219562087,"11475/11512/16801/69632/109880/14672/14673/14674/14682/14683/16438/18749/16531/18750/18751/18753/18754/18752/26413/26417/26395/26396/77579/71960/17886/107589/17931/18795/18797/19045/19046/11836/11848/19877/19878",35
"mmu04926","mmu04926","Relaxin signaling pathway","32/1416","129/8997",0.00481376817492509,0.0134968934253259,0.00703597451746313,"11475/11512/11651/23797/109689/216869/14693/14696/14701/14704/14708/14677/14678/14679/14681/14683/14784/18749/18750/26413/26417/26395/26396/26398/18795/18797/26414/15461/16653/17126/20662/20779",32
"mmu04066","mmu04066","HIF-1 signaling pathway","29/1416","114/8997",0.0048417427208312,0.0134968934253259,0.00703597451746313,"11651/23797/11676/71745/13806/108058/14433/216019/15275/13684/18750/18751/18752/72508/16832/26413/26417/26395/26396/56717/18597/18641/56421/18655/18663/18803/20104/20848/22042",29
"mmu04972","mmu04972","Pancreatic secretion","29/1416","114/8997",0.0048417427208312,0.0134968934253259,0.00703597451746313,"11512/11928/98660/232975/11931/11932/11933/20535/54403/14682/14683/16438/16531/18750/18751/18752/18795/18797/381290/320707/67373/19340/17274/19353/109905/215449/53869/11848/20496",29
"mmu04970","mmu04970","Salivary secretion","23/1416","85/8997",0.00514156871310321,0.0142069661809431,0.00740613775848662,"11512/11928/98660/232975/11931/11932/11933/20535/13010/14682/14683/16438/18749/16531/18750/18751/18752/18795/18797/381290/320707/20496/22318",23
"mmu04211","mmu04211","Longevity regulating pathway","24/1416","90/8997",0.0052728467282754,0.0144430149513631,0.00752919075158776,"74370/108097/19082/108079/11512/11651/23797/51897/12028/12359/72993/13684/16367/384783/18749/207565/72508/56717/15461/16653/12421/19744/20656/20869",24
"mmu04920","mmu04920","Adipocytokine signaling pathway","20/1416","71/8997",0.00539927935072473,0.0146618361679163,0.00764326296472829,"108097/19082/108079/94180/14081/74205/50790/11651/23797/12894/78070/16367/384783/207565/56717/16151/19247/26414/20848/20869",20
