"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04728","mmu04728","Dopaminergic synapse","71/2181","135/8997",8.57387322169658e-13,1.10088532166584e-11,5.77608301251138e-12,"226849/26932/26931/51792/71978/224129/11651/23797/17161/109731/109689/216869/53623/12286/12287/12288/70405/12846/13195/108058/14688/14693/14696/14701/14702/14704/14708/14677/14678/14679/14680/14681/14682/14683/14799/14800/14802/606496/56637/16438/18747/18749/12322/12323/12325/16519/16522/16572/16574/16573/18750/18751/18752/26419/26420/26414/14811/14812/18795/18797/19045/19046/19052/19053/19055/19056/19049/21770/18798/13162/21823",71
"mmu04360","mmu04360","Axon guidance","87/2181","181/8997",1.79407538279828e-12,2.21499306876249e-11,1.16215409412034e-11,"11350/226251/231148/319713/69632/12168/19058/12540/12568/12631/12632/13176/12934/65254/259302/13642/13800/13836/13837/13838/13839/270190/13844/13845/108058/14083/14360/18479/14677/14678/14679/56637/16202/16412/12322/12323/12325/18750/16728/16885/241568/26413/26417/67938/17973/17974/18007/53972/80883/224105/18481/214230/93742/18607/18803/18844/18845/243743/235611/54712/19055/19056/19247/19878/218397/19353/19354/170758/110157/15461/16653/11848/19876/268902/19877/20130/20351/20354/20355/20359/20361/20779/117600/14270/237860/107448/22253",87
"mmu04810","mmu04810","Regulation of actin cytoskeleton","100/2181","220/8997",2.89818622353696e-12,3.44562139909394e-11,1.80783546107569e-11,"109711/50884/329165/12669/12672/11461/60595/11789/11836/56443/11867/16801/73341/54126/69632/66713/74117/242894/74192/76709/56378/68089/67771/108100/12927/109880/12540/12631/12632/12928/12929/20430/76884/13367/54004/330662/13800/22350/14083/14163/14164/18711/18479/14701/227753/216963/14673/14674/29875/544963/16403/16410/16412/16885/26413/26417/67938/17698/26395/26396/77579/71960/17886/17931/224105/18481/214230/18718/108083/117150/18720/18719/18717/232807/19045/19046/18643/18645/320910/19878/19353/19354/170758/19684/110157/15461/16653/232906/11848/19877/20130/66922/20544/20662/20779/237860/21844/22330/83767/73178",100
"mmu04540","mmu04540","Gap junction","51/2181","86/8997",3.60461075851771e-12,4.13242876244352e-11,2.16818692241667e-11,"432530/224129/11512/11514/11515/21872/14609/14672/14677/14678/14679/14682/14683/14784/14816/108071/16438/18747/18749/104318/18750/18751/18752/26413/26417/26395/26396/18795/18797/234889/18798/110157/15461/16653/20662/20779/22142/22143/22146/22144/22145/53857/238463/545486/22151/73710/22152/22153/227613/22154/67951",51
"mmu00620","mmu00620","Pyruvate metabolism","32/2181","44/8997",1.50524884160833e-11,1.63288498686724e-10,8.56735851446986e-11,"107476/100705/68738/60525/66204/75572/11532/58810/72535/11671/110695/56752/11669/13382/14651/76238/18746/16828/16832/109801/107029/109264/17436/17449/17448/235339/18597/68263/74551/224530/110460/110446",32
"mmu04070","mmu04070","Phosphatidylinositol signaling system","54/2181","96/8997",1.52606073538994e-11,1.63288498686724e-10,8.56735851446986e-11,"70405/52858/110911/380921/320127/217480/56077/110197/110524/104418/331374/104015/18711/55980/269180/234515/64436/16329/228550/27399/16438/18750/18751/18752/53332/77116/74302/219135/54384/320634/18704/18718/108083/117150/107650/18720/18719/18717/225326/18795/18797/18799/18802/18803/19211/212111/227333/18798/83493/101490/16332/20975/327655/227399",54
"mmu04910","mmu04910","Insulin signaling pathway","70/2181","139/8997",1.8011574539552e-11,1.86506949264394e-10,9.78557530162419e-11,"74370/228966/108097/19082/105787/108079/107476/100705/11651/23797/11836/109880/70405/12402/208650/12928/12929/53413/14104/14251/14252/14784/56637/14936/216019/15275/13684/16367/384783/19084/19085/19087/19088/18747/18749/18679/102093/18759/72508/26413/26417/26419/26420/26414/26395/26396/56717/74551/18607/19045/19046/54646/19246/19268/110078/110095/19309/212111/107746/110157/15461/16653/19744/20104/20418/16332/20662/20411/64930/22084",70
"mmu04727","mmu04727","GABAergic synapse","51/2181","89/8997",2.18737219235946e-11,2.19420773046059e-10,1.15124852229445e-10,"432530/224129/11512/11514/11515/12286/12287/12288/14415/14417/54393/242425/268860/14688/14693/14696/14701/14702/14704/14708/14394/14396/14397/14400/14401/14402/14406/93739/268566/14645/14660/14677/14678/14679/14681/15114/18747/18749/16522/18750/18751/18752/18195/227120/70827/57138/76257/243616/232333/20779/22348",51
"mmu04932","mmu04932","Non-alcoholic fatty liver disease","75/2181","156/8997",6.10231581871524e-11,5.93588902365937e-10,3.11441955660108e-10,"108097/19082/105787/108079/70316/11651/23797/12028/12367/12540/12857/12858/12859/12864/12867/110323/12865/12866/66445/13063/13067/606496/56637/13665/16367/384783/16396/26408/26419/26420/26414/54405/17991/66091/17992/68202/67130/66416/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/17993/595136/407785/75406/225887/17995/72900/78330/22273/67003/66576/67530/22272/66152/19353/66945/67680/66694",75
"mmu04072","mmu04072","Phospholipase D signaling pathway","72/2181","149/8997",1.09903557636544e-10,1.03761888239207e-09,5.4441390779712e-10,"432530/224129/11512/11514/11515/11651/23797/11840/11845/19157/19158/380921/320127/217480/56077/110197/110524/104418/13429/13430/103967/331374/19229/14360/14388/14389/14673/14674/14683/14784/14816/108068/108069/268934/108071/108073/14823/16590/18750/26413/26417/26395/26396/56717/18720/18719/18717/55979/18795/18797/28169/68262/52123/18803/19247/227333/18798/110157/56044/64143/15461/16653/19744/11848/56508/20130/66922/20418/20662/56632/64930/22084",72
"mmu04730","mmu04730","Long-term depression","38/2181","60/8997",1.33478342902278e-10,1.22418708776089e-09,6.42301800432014e-10,"51792/11836/53623/109880/12286/14672/14673/14674/14677/14678/14679/14681/14682/14683/14687/14799/14800/14804/14816/16438/18750/18751/18752/26413/26417/26395/26396/18125/18795/18797/19052/19053/234889/18798/110157/15461/16653/20190",38
"mmu03010","mmu03010","Ribosome","82/2181","179/8997",1.6854309679751e-10,1.50284261311113e-09,7.88505716011744e-10,"19896/20042/20103/110954/238217/67025/269261/270106/22121/67115/66480/319195/19899/76808/19921/19933/19934/65019/268449/68193/19941/19942/26451/19943/19944/27367/19946/114641/19951/68436/66489/57808/54217/19982/67281/19981/67671/67891/22186/100503670/19988/19989/27176/26961/20005/11837/56040/68537/68463/68611/67097/27207/68052/20044/20054/267019/20055/20068/20084/20085/16898/67427/66481/66475/20088/75617/27370/57294/78294/67941/20090/27050/14109/20102/20104/20115/20116/76846/16785/118451/77721/66258",82
"mmu00020","mmu00020","Citrate cycle (TCA cycle)","25/2181","32/8997",1.98514937488499e-10,1.72225121442725e-09,9.03624182024461e-10,"104112/11428/11429/239017/12974/13382/67834/15926/15929/269951/17449/17448/18293/78920/235339/18597/68263/74551/71832/170718/66945/67680/56451/20916/20917",25
"mmu04012","mmu04012","ErbB signaling pathway","47/2181","84/8997",4.07700054383396e-10,3.44399256465974e-09,1.80698085045272e-09,"11350/11352/11651/23797/11836/109880/12402/208650/12576/12928/12929/13869/108058/14083/18479/14388/14784/56637/12322/12323/12325/18750/18751/18752/72508/26413/26417/26419/26420/26414/26395/26396/26398/26400/56717/17973/17974/224105/18481/214230/18803/110157/15461/16653/20418/20662/20779",47
"mmu04666","mmu04666","Fc gamma R-mediated phagocytosis","50/2181","92/8997",4.55047288485549e-10,3.69338137380085e-09,1.93782921727541e-09,"11651/23797/218038/56443/11867/11845/66713/74117/242894/74192/76709/56378/68089/67771/13196/211914/30948/12540/12631/12632/12928/12929/330662/13430/18479/14389/227753/18750/18751/18753/18754/18752/72508/16885/17118/26413/26417/26395/17357/18720/18719/18717/18803/19353/19354/110157/16332/56632/83767/245880",50
"mmu00280","mmu00280","Valine, leucine and isoleucine degradation","36/2181","57/8997",4.6023443910291e-10,3.69338137380085e-09,1.93782921727541e-09,"58875/78894/66948/11364/11409/66885/257633/72535/11671/110695/56752/11669/11992/12035/12036/13382/97212/231086/93747/268860/15108/15107/227095/208715/15356/56357/78038/104776/13171/12039/224530/67041/110460/113868/110446/52538",36
"mmu04713","mmu04713","Circadian entrainment","52/2181","98/8997",6.48810375790432e-10,5.07971050313972e-09,2.66520308411987e-09,"14810/432530/224129/11512/11514/11515/53623/12288/70405/70729/108058/14688/14693/14696/14701/14702/14704/14708/14677/14678/14679/14681/14682/14683/14799/14800/14802/16438/18747/18749/12322/12323/12325/16519/16522/18750/18751/18752/73086/26413/26417/14811/14812/18125/11517/18626/18795/18797/234889/18798/20190/20191",52
