"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04150","mmu04150","mTOR signaling pathway","54/1582","157/8997",2.48041611090732e-07,1.49778972850942e-06,7.63204957202253e-07,"17254/105787/108079/11651/23797/67605/109880/12283/56430/277854/13542/13543/13544/14784/56637/75705/13684/16367/18750/18751/18752/20111/20112/72508/64898/66508/252875/26413/26417/26395/26396/18607/19211/110157/15461/16653/11848/245670/54170/20104/227743/20662/20869/72149/22084/29869/11964/11966/66335/73834/11973/66144/66237/108664",54
"mmu05135","mmu05135","Yersinia infection","48/1582","134/8997",2.90195996947776e-07,1.71927439701135e-06,8.76063387012153e-07,"11461/11651/23797/56443/16801/54126/66713/242894/74192/56378/67771/108100/12927/12540/12929/330662/140580/140579/14083/14682/56637/16412/20111/20112/16885/26409/26413/26417/26419/26420/26414/26395/26396/26398/26399/26400/18717/320795/19878/19353/170758/11848/56212/68652/56480/73178/68524/330319",48
"mmu05211","mmu05211","Renal cell carcinoma","30/1582","68/8997",3.0873141195168e-07,1.79521598801532e-06,9.14759739116089e-07,"11651/23797/11864/109880/12914/12540/12929/71745/18479/14388/14784/20525/26413/26417/26395/26396/224105/18481/214230/19247/107746/11836/94315/19353/110157/109905/215449/15461/16653/20662",30
"mmu00562","mmu00562","Inositol phosphate metabolism","31/1582","72/8997",3.82760877837368e-07,2.18521664801698e-06,1.11348619007234e-06,"104015/18711/55980/234515/64436/228550/104776/53332/77116/74302/219135/320634/18704/18718/117150/107650/18717/170835/18795/18797/18799/18802/269615/19211/269180/18798/83493/101490/16332/20975/21991",31
"mmu04935","mmu04935","Growth hormone synthesis, secretion and action","43/1582","116/8997",4.05503842505738e-07,2.27371797405003e-06,1.15858240715925e-06,"432530/224129/11512/11514/11515/11651/23797/12927/12288/12914/12929/14083/14672/14678/14679/14682/14683/14784/56637/16367/384783/18747/18749/18750/18751/18752/26413/26417/26419/26420/26414/26395/26396/26398/26399/18795/18797/18798/110157/15461/16653/20418/20662",43
"mmu00640","mmu00640","Propanoate metabolism","18/1582","31/8997",4.74937138396134e-07,2.61632037642783e-06,1.33315687970845e-06,"100705/11409/68738/60525/56690/13382/97212/52665/93747/268860/227095/16832/104776/13171/12039/56451/20916/20917",18
"mmu05032","mmu05032","Morphine addiction","36/1582","91/8997",5.71659300604738e-07,3.09484517913599e-06,1.57699117408203e-06,"432530/224129/11512/11514/11515/12286/12287/54393/242425/14688/14693/14696/14702/14704/14708/14397/14401/14402/14678/14679/14681/14683/18747/18749/16519/18750/18751/18752/18573/18574/18575/18577/238871/218461/18578/22348",36
"mmu04810","mmu04810","Regulation of actin cytoskeleton","68/1582","220/8997",7.41100332519336e-07,3.94416109171307e-06,2.00976361361176e-06,"50884/329165/12669/12672/11461/56443/16801/73341/54126/66713/242894/74192/56378/67771/11789/108100/12927/109880/12540/12631/12632/12929/13367/54004/330662/22350/14083/14164/18711/18479/14674/544963/16403/16412/16885/26413/26417/67938/26395/26396/77579/71960/17886/17931/224105/18481/214230/18718/117150/18717/232807/18643/18645/19878/11836/19353/170758/19684/110157/15461/16653/11848/66922/20544/20662/21844/83767/73178",68
"mmu04922","mmu04922","Glucagon signaling pathway","39/1582","104/8997",9.9114283714982e-07,5.18698084775072e-06,2.64304756573285e-06,"108097/19082/105787/108079/100705/11651/23797/70405/19058/12914/12894/78070/108058/14682/14683/20525/14936/18747/18749/12322/12323/12325/18746/16832/18597/68263/74551/18641/18642/56421/18648/56012/18795/18797/19055/19056/110095/19309/18798",39
"mmu04071","mmu04071","Sphingolipid signaling pathway","44/1582","124/8997",1.21339813498743e-06,6.24601662927954e-06,3.18268363275391e-06,"226849/26932/26931/51792/71978/11651/23797/11886/12028/67260/13244/14389/14674/14678/14679/14682/18750/18751/18754/18752/26408/26413/26417/26419/26420/26414/26395/26396/18607/18795/18797/19052/19053/19211/19878/21770/18798/19353/170758/110157/15461/16653/11848/81535",44
