"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu04723","mmu04723","Retrograde endocannabinoid signaling","88/2188","148/8997",4.65408191125212e-20,1.34545277070743e-18,6.8586470271084e-19,"66082/432530/224129/11512/11514/11515/53623/12286/12287/12288/12801/269060/14073/14688/14693/14696/14701/14702/14704/14394/14396/14397/14400/14401/14402/14406/14677/14678/14679/14681/14682/14799/14800/14802/14816/108071/16438/18747/18749/16519/16522/18750/18751/18752/23945/26413/26417/26419/26420/26414/54405/17991/66091/17992/68202/67130/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/595136/75406/225887/17995/72900/18795/18797/78330/18798/116837/72961/140919/22348",88
"mmu03040","mmu03040","Spliceosome","81/2188","134/8997",3.49498948218021e-19,9.26172212777755e-18,4.7213015811908e-18,"56215/71702/27967/66070/74351/72047/212880/13207/13204/53817/233908/15381/15387/76936/51810/193740/15482/15512/15481/192170/27756/67678/66441/23983/68479/66101/68816/54633/56194/28000/68988/70052/68879/192159/70767/67959/319322/64340/66810/67039/19655/15382/229279/20638/20637/20630/68981/20639/68011/67465/75062/81898/101943/107701/66055/107686/67332/66585/53607/20227/28035/66354/76938/67958/14105/110809/20382/20383/57317/20384/67996/225027/67439/56070/331401/20462/108121/22185/320632/20624/60321",81
"mmu04721","mmu04721","Synaptic vesicle cycle","53/2188","77/8997",1.59333026948468e-16,3.77885521043657e-15,1.92632804504215e-15,"11771/11772/71770/11773/232910/12286/12287/12757/74325/67300/12889/12890/235415/13429/13430/103967/20512/20511/20510/20513/18195/19339/116837/243616/232333/13162/15567/104245/240332/14664/108124/20614/20907/56216/20910/20979/382018/208898/11972/22318/11964/11966/66335/73834/11973/66144/66237/108664/11984/72961/140919/22348/11975",53
"mmu05415","mmu05415","Diabetic cardiomyopathy","106/2188","211/8997",1.66364694799094e-16,3.77885521043657e-15,1.92632804504215e-15,"11739/11740/11651/23797/11937/11938/53313/71679/11946/11947/66043/11949/28080/13033/12857/12858/12859/12864/12867/12896/110323/12865/12866/66445/108058/14433/14381/14583/14782/56637/20525/14936/16367/12322/12323/12325/18750/18751/18753/18752/26419/26420/26414/55951/70456/56717/54405/17991/66091/17992/68202/67130/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/595136/75406/225887/17995/72900/18597/68263/11545/18604/236900/18795/18797/19045/19046/105675/19211/78330/18798/22273/67003/66576/67530/22272/66152/19353/19354/20191/66945/67680/17126/210789/66694/22333/22334/22335",106
"mmu04714","mmu04714","Thermogenesis","113/2188","231/8997",2.02146346382844e-16,4.28550254331628e-15,2.18459911178652e-15,"74370/108097/19082/105787/108079/56456/14081/74205/50790/216739/11461/432530/224129/11512/11514/11515/67605/93760/71679/27425/11946/11947/66043/11949/57423/28080/12801/52469/69893/12857/12858/12859/12864/12867/12894/78070/12896/110323/12865/12866/66445/29861/239985/327826/14683/14784/18747/18749/99982/277250/20111/20112/72508/26408/57279/23945/26397/56717/54405/17991/66091/17992/68202/67130/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/66706/73694/227197/226646/68349/595136/75406/225887/17995/72900/78330/22273/67003/66576/67530/22272/66152/15461/16653/19744/20104/66945/67680/67155/20586/57376/20588/68094/20587/20662/64930/22084/66694",113
"mmu01230","mmu01230","Biosynthesis of amino acids","53/2188","79/8997",8.85770295161448e-16,1.76046846163338e-14,8.97425167466204e-15,"353204/14718/14719/11428/11429/76282/108682/11674/11676/109900/27053/11898/12035/12036/12411/107869/12974/13806/13807/14433/14645/67834/15926/15929/269951/18746/108645/238505/11720/232087/209027/69051/66194/56454/18641/18642/56421/18648/56012/18655/18663/19139/110639/18563/108037/71832/170718/257635/236539/107272/21351/21881/21991",53
"mmu04530","mmu04530","Tight junction","88/2188","167/8997",1.60612379554023e-15,3.00439627636349e-14,1.53153600317768e-14,"51792/71978/76089/109711/108097/19082/105787/108079/11461/60595/75723/56443/11867/16800/102098/66713/74117/242894/74192/76709/56378/68089/67771/192786/21872/12540/70737/58187/18417/13383/23859/53310/54357/22350/15525/16412/18747/18749/18754/18759/16897/26408/14924/18016/231830/26419/26420/26414/67938/17698/26400/17475/56217/77579/71960/17886/17904/216459/83814/17999/26941/93742/18538/19052/19053/19878/17274/235442/19353/19684/109905/70497/11848/19877/105782/20779/13043/20869/104027/22142/22143/22146/22144/22145/53857/238463/21844/21873",88
"mmu04141","mmu04141","Protein processing in endoplasmic reticulum","89/2188","172/8997",4.73266310338513e-15,7.94443397104545e-14,4.04979421231711e-14,"23802/213539/27061/12028/12317/12330/12333/12334/56424/216197/12955/26965/13135/67838/15502/56445/81489/56812/100037258/13002/22027/66753/56228/230904/50762/218811/14376/19089/14828/15505/193740/15482/18415/15519/15516/15512/15481/12282/13665/70361/66890/26408/26419/26420/26414/57377/26400/59007/217365/386649/13200/18453/14827/12304/71853/18786/50907/99683/19358/19359/103963/20014/81910/20224/20334/77371/69162/20338/110379/69276/140740/21402/107513/20832/67437/16430/68292/75744/74126/269523/80286/105245/216080/63958/225896/67812/66530/320011/22393",89
"mmu05208","mmu05208","Chemical carcinogenesis - reactive oxygen species","107/2188","222/8997",4.74667438521583e-15,7.94443397104545e-14,4.04979421231711e-14,"11350/11352/11739/11740/58810/11651/23797/11836/57344/71679/11946/11947/66043/11949/28080/109880/12359/12408/12857/12858/12859/12864/12867/110323/12865/12866/66445/14083/56484/14784/14860/14862/14866/14873/14871/13849/13850/18753/26408/56615/66447/26413/26417/26419/26420/26414/26395/26396/26398/26400/54405/17991/66091/17992/68202/67130/68375/66108/67273/69875/66414/67184/66495/68194/66046/230075/66916/67264/66218/68342/104130/68197/227197/226646/68349/595136/75406/225887/17995/72900/16151/18104/18607/105675/19211/19246/19247/78330/22273/67003/66576/67530/22272/66152/19353/110157/15461/16653/66945/67680/20656/20662/20779/66694/22333/22334/22335",107
"mmu04724","mmu04724","Glutamatergic synapse","66/2188","113/8997",7.93058508240111e-15,1.26096302810178e-13,6.42794790889353e-14,"14810/432530/224129/11512/11514/11515/53623/12286/12288/19058/243961/210274/13385/224997/20512/20511/20510/20513/14688/14693/14696/14701/14702/14704/14645/14660/14677/14678/14679/14681/14682/14683/14799/14800/14802/14806/14807/14816/108068/108069/268934/108071/108073/14823/26556/26557/16438/18747/18749/16519/18750/18751/18752/26413/26417/14811/14812/18795/18797/19055/19056/18798/76257/58234/72961/140919",66
